username,time,tweet
realDonaldTrump,2018-10-16 11:26:33,Is it really possible that Bruce Ohr whose wife Nellie was paid by Simpson and GPS Fusion for work done on the Fake Dossier and who was used as a Pawn in this whole SCAM (WITCH HUNT) is still working for the Department of Justice????? Can this really be so?????
realDonaldTrump,2018-10-16 11:18:51,"""Conflict between Glen Simpson's testimony to another House Panel about his contact with Justice Department official Bruce Ohr. Ohr was used by Simpson and Steele as a Back Channel to get (FAKE) Dossier to FBI. Simpson pleading Fifth."" Catherine Herridge. Where is Jeff Sessions?"
realDonaldTrump,2018-10-16 11:04:32,"""Federal Judge throws out Stormy Danials lawsuit versus Trump. Trump is entitled to full legal fees."" @FoxNews Great now I can go after Horseface and her 3rd rate lawyer in the Great State of Texas. She will confirm the letter she signed! She knows nothing about me a total con!"
realDonaldTrump,2018-10-16 10:12:06,Incredible number just out 7036000 job openings. Astonishing - it's all working! Stock Market up big on tremendous potential of USA. Also Strong Profits. We are Number One in World by far!
realDonaldTrump,2018-10-16 09:15:18,For the record I have no financial interests in Saudi Arabia (or Russia for that matter). Any suggestion that I have is just more FAKE NEWS (of which there is plenty)!
realDonaldTrump,2018-10-16 09:08:24,"""8X more new manufacturing jobs now than with Obama."" @FoxNews @cvpayne"
realDonaldTrump,2018-10-16 09:05:04,The United States has strongly informed the President of Honduras that if the large Caravan of people heading to the U.S. is not stopped and brought back to Honduras no more money or aid will be given to Honduras effective immediately!
realDonaldTrump,2018-10-16 08:55:38,"""Op-Ed praises Trump Administrations efforts at the Border."" @FoxNews  The  Washington Examiner States ""Finally the government has taken steps to stop releasing unaccompanied minors to criminals and traffickers."" This was done by the Obama Administration!"
realDonaldTrump,2018-10-16 08:24:51,Thank you to the Cherokee Nation for revealing that Elizabeth Warren sometimes referred to as Pocahontas is a complete and total Fraud!
realDonaldTrump,2018-10-16 08:16:35,"Now that her claims of being of Indian heritage have turned out to be a scam and a lie Elizabeth Warren should apologize for perpetrating this fraud against the American Public. Harvard called her ""a person of color"" (amazing con) and would not have taken her otherwise!"
realDonaldTrump,2018-10-16 08:06:31,"Pocahontas (the bad version) sometimes referred to as Elizabeth Warren is getting slammed. She took a bogus DNA test and it showed that she may be 1/1024 far less than the average American. Now Cherokee Nation denies her ""DNA test is useless."" Even they don't want her. Phony!"
realDonaldTrump,2018-10-15 20:26:23,TOGETHER WE WILL PREVAIL!pic.twitter.com/C1TLMVkDmt
realDonaldTrump,2018-10-15 19:51:59,Open enrollment starts today on lower-priced Medicare Advantage plans so loved by our great seniors. Crazy Bernie and his band of Congressional Dems will outlaw these plans. Disaster!
realDonaldTrump,2018-10-15 18:23:50,Thank you to the law enforcement first responders and state local and Federal officials who are helping in recovery efforts following #HurricaneMichael.pic.twitter.com/a4K7SDNbqe
realDonaldTrump,2018-10-15 17:54:23,"""First responders @fema the job they've done is incredible"" President @realDonaldTrump said as he toured damage from #HurricaneMichael in Florida with @FLOTUS and Administration officials today.pic.twitter.com/kcgthIzMXh"
realDonaldTrump,2018-10-15 11:45:43,Just arrived in Florida. Also thinking about our GREAT Alabama farmers and our many friends in North and South Carolina today. We are with you!
realDonaldTrump,2018-10-15 09:48:13,On our way to Florida and Georgia!
realDonaldTrump,2018-10-15 08:37:05,"Just spoke to the King of Saudi Arabia who denies any knowledge of whatever may have happened ""to our Saudi Arabian citizen."" He said that they are working closely with Turkey to find answer. I am immediately sending our Secretary of State to meet with King!"
realDonaldTrump,2018-10-15 08:25:13,Will be leaving for Florida and Georgia with the First Lady to tour the hurricane damage and visit with FEMA First Responders and Law Enforcement. Maximum effort is taking place everyone is working very hard. Worst hit in 50 years!
